trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
108,False,"{'a': 0.01, 'e': 0.33959552564493911}",20,8,-38.26247433036316,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
109,False,"{'a': 0.01, 'e': 0.33621649370673329}",25,13,-1.7342354106565583,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.33287108369807955}",25,0,28.004237805948463,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
111,False,"{'a': 0.01, 'e': 0.32955896107518906}",20,5,13.012800487869018,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.32627979462303947}",25,3,-18.19432734437391,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.32303325642225289}",25,17,16.144311694124617,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.31981902181630384}",25,4,29.26039674664204,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.31663676937905316}",25,0,-75.10957877386,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
116,False,"{'a': 0.01, 'e': 0.31348618088260533}",20,16,6.6296985058904925,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.31036694126548503}",20,1,-10.830085858749413,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.30727873860113125}",30,0,-69.48210364604488,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
119,False,"{'a': 0.01, 'e': 0.30422126406670408}",20,6,-36.67664547018781,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
120,False,"{'a': 0.01, 'e': 0.30119421191220214}",20,0,-8.627696776920885,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
121,False,"{'a': 0.01, 'e': 0.29819727942988739}",20,4,21.745413921302216,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.29523016692401421}",25,6,-45.05539868532884,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 1}",1
123,False,"{'a': 0.01, 'e': 0.29229257768085942}",20,1,-73.4910416402337,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 1}",1
124,False,"{'a': 0.01, 'e': 0.28938421793905061}",30,18,20.446909716928047,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.28650479686019009}",25,5,17.19613352223887,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.2836540264997704}",20,8,13.789373752541199,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.28083162177837978}",20,12,8.170084608184006,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.27803730045319414}",20,0,-12.958547217347585,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
129,False,"{'a': 0.01, 'e': 0.27527078308975234}",20,2,1.294613928348218,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
